TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
FUENTES,FUEP_02_09_0012,"ARGANZUELA, MADRID RÍO",Z.17. -  ARGANZUELA - ESQUELETO,40.3985716,-3.7125641
FUENTES,FUEP_02_09_0013,"ARGANZUELA, MADRID RÍO",Z.17. -  ARGANZUELA - ESQUELETO,40.3985662,-3.7125723
FUENTES,FUEP_02_09_0014,"ARGANZUELA, MADRID RÍO",Z.17. -  ARGANZUELA - ESQUELETO,40.3985598,-3.7125805
FUENTES,FUEP_02_09_0022,"ARGANZUELA, MADRID RÍO",Z.18. - ARGANZUELA - PERRAULT,40.3983593,-3.711195
FUENTES,FUEP_02_09_0021,"ARGANZUELA, MADRID RÍO",Z.18. - ARGANZUELA - PERRAULT,40.3983549,-3.7111867
FUENTES,FUEP_02_09_0020,"ARGANZUELA, MADRID RÍO",Z.18. - ARGANZUELA - PERRAULT,40.3983495,-3.7111784
FUENTES,FUEP_02_09_0028,"ARGANZUELA, MADRID RÍO",Z.20. - ARGANZUELA - Pº DE PLATANOS,40.3963013,-3.7074415
FUENTES,FUEP_02_09_0029,"ARGANZUELA, MADRID RÍO",Z.20. - ARGANZUELA - Pº DE PLATANOS,40.3962931,-3.7074462
FUENTES,FUEP_02_09_0030,"ARGANZUELA, MADRID RÍO",Z.20. - ARGANZUELA - Pº DE PLATANOS,40.3962859,-3.7074496
FUENTES,FUEP_02_09_0025,"ARGANZUELA, MADRID RÍO",Z.20. - ARGANZUELA - Pº DE PLATANOS,40.3973554,-3.7071344
FUENTES,FUEP_02_09_0026,"ARGANZUELA, MADRID RÍO",Z.20. - ARGANZUELA - Pº DE PLATANOS,40.3973509,-3.7071261
FUENTES,FUEP_02_09_0024,"ARGANZUELA, MADRID RÍO",Z.20. - ARGANZUELA - Pº DE PLATANOS,40.3973607,-3.7071427
FUENTES,FUEP_02_09_0039,"ARGANZUELA, MADRID RÍO",Z.23. - ARGANZUELA - Pº DE LA CHOPERA,40.3923741,-3.7006584
FUENTES,FUEP_02_09_0040,"ARGANZUELA, MADRID RÍO",Z.23. - ARGANZUELA - Pº DE LA CHOPERA,40.3923803,-3.7006655
FUENTES,FUEP_02_09_0037,"ARGANZUELA, MADRID RÍO",Z.23. - ARGANZUELA - Pº DE LA CHOPERA,40.3925544,-3.7009265
FUENTES,FUEP_02_09_0036,"ARGANZUELA, MADRID RÍO",Z.23. - ARGANZUELA - Pº DE LA CHOPERA,40.3925499,-3.7009359
FUENTES,FUEP_02_09_0035,"ARGANZUELA, MADRID RÍO",Z.23. - ARGANZUELA - Pº DE LA CHOPERA,40.3925453,-3.7009453
FUENTES,FUEP_02_09_0043,"ARGANZUELA, MADRID RÍO",Z.28. - BMX,40.3843184,-3.6887583
FUENTES,FUEP_02_09_0041,"ARGANZUELA, MADRID RÍO",Z.23. - ARGANZUELA - Pº DE LA CHOPERA,40.3932601,-3.6984983
FUENTES,SKATEPARK,"ARGANZUELA, MADRID RÍO",Z.21. - ARGANZUELA - PUENTE DE PRAGA,40.3954644,-3.7040321
FUENTES,SKATEPARK,"ARGANZUELA, MADRID RÍO",Z.21. - ARGANZUELA - PUENTE DE PRAGA,40.3954609,-3.7040227
