Distrito,Apartado,Número de archivo,Situación Destino,Destino,Solar
LATINA,PARQUES Y JARDINES,300.427,CALLE DE CARAMUEL NUM 53,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DEL PERIMETRO DEL PARQUE SE ENCUENTRAUBICADA LA INSTALACIÓN DEPORTIVA BÁSICA PARQUE CARAMUEL (PISTA POLIDEPORTIVA Y PISTA DE PATINAJE) YUNA CASETA DE PERSONAL Y ALMACÉN.,80000.00 m2
LATINA,PARQUES Y JARDINES,300.428,AVENIDA DE LAS ÁGUILAS NUM 63-97,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADA UNACASETA DE PERSONAL Y ALMACÉN.,23026.00 m2
LATINA,PARQUES Y JARDINES,300.429,CALLE DE MARCELINO CASTILLO NUM 29C/V MARCELINO CASTILLO PARQUE CERRO DE ALMODOVAR,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DEL PERIMETRO DEL PARQUE SE ENCUENTRANUBICADOS UN AUDITORIO, UN CENTRO DE CONTROL DEL PARQUE, LA IDB PARQUE CERRO ALMODÓVAR II (7 PISTAS DEBOLOS Y PETANCA Y 3 PISTAS DE CHITO),UNA CASETA DE PERSONAL Y ALMACÉN Y UN CANTÓN DE LIMPIEZA.",92800.00 m2
LATINA,PARQUES Y JARDINES,300.43,CALLE DE LA VIDAUBA NUM 4,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DEL PERIMETRO DEL PARQUE SE ENCUENTRA LAIDB PARQUE RAFAEL FINAT (PISTA DE PATINAJE), SITA EN LA C/ FUERTE DE NAVIDAD, Nº 1.",12600.00 m2
LATINA,PARQUES Y JARDINES,300.431,CALLE CONCEJAL FCO JOSE JIMENEZ MARTIN C/V C/ ALHAMBRA,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. PARQUE URBANO. ES UNA PARCELA QUE FORMA PARTEDEL PARQUE DE LA CUÑA VERDE DE LATINA.,5950.00 m2
LATINA,PARQUES Y JARDINES,300.449,"PASEO DE EXTREMADURA, NÚMERO 181 POSTERIOR",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,830.00 m2
LATINA,PARQUES Y JARDINES,300.452,CALLE DIGITAL NUM 18-B,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1528.79 m2
LATINA,PARQUES Y JARDINES,300.453,PASEO DE LOS HÚSARES NUM 50,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,804.15 m2
LATINA,PARQUES Y JARDINES,300.454,PASEO DE LOS HÚSARES NUM 52-54,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1145.31 m2
LATINA,PARQUES Y JARDINES,300.455,PASEO DE LOS HÚSARES NUM 56,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,700.10 m2
