,TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
647,Monumentos,Puerta del Doce de Octubre del Retiro,Pza Menéndez Pelayo N/A o N/D,"Puerta, Arco triunfal",40.415564522058965,-3.677979527480413
648,Monumentos,Puerta del Niño Jesús del Retiro,Pza Menéndez Pelayo N/A o N/D,"Puerta, Arco triunfal",40.4112293170536,-3.676757417458312
649,Monumentos,Puerta del Olivar de Atocha (Jardines de Cecilio Rodríguez),Pº Duque de Fernán Núñez N/A o N/D,"Puerta, Arco triunfal",40.41311871747994,-3.6787210909601713
650,Monumentos,Puerta del pabellón de los Jardines Cecilio Rodríguez,Pº Uruguay N/A o N/D,"Puerta, Arco triunfal",40.412286593679134,-3.677746262942013
651,Monumentos,Puerta del Ángel Caído del Retiro,C Alfonso XII 5,"Puerta, Arco triunfal",40.40963820726981,-3.6883739879456345
652,Monumentos,Puerta norte del Jardín Botánico,Pza Murillo 2,"Puerta, Arco triunfal",40.41237342351499,-3.6919848637416672
653,Monumentos,Puerta Real del Jardín Botánico,Pº Prado 11,"Puerta, Arco triunfal",40.41094831650798,-3.692264914659393
654,Monumentos,Puerta secundaria jardines Cecilio Rodríguez,Pº Uruguay N/A o N/D,"Puerta, Arco triunfal",40.41232456171481,-3.677416630426227
655,Monumentos,Puerta sur de los jardines de Cecilio Rodríguez,Pº Uruguay N/A o N/D,"Puerta, Arco triunfal",40.41214890878916,-3.6781809696302
656,Monumentos,Puertas Biblioteca y Museo Arqueológico Nacionales,Pº Recoletos 20,"Puerta, Arco triunfal",40.423525668802256,-3.690637405772645
657,Monumentos,Pérgolas del parque Enrique Tierno Galván,No disponible,Edificación singular,40.3934483874144,-3.6854283294271855
658,Monumentos,Pío Baroja,C Claudio Moyano N/A o N/D,Estatua,40.40963497841015,-3.688916098199434
659,Monumentos,Quer,Pza Murillo 2,Estatua,40.411899709662826,-3.691355347156553
660,Monumentos,Quiosco de Música del Retiro,Pza Maestro Villa N/A o N/D,Edificación singular,40.41945096510063,-3.6850202786224906
661,Monumentos,Rafael de León,CALLE MAIQUEZ 12,"Elemento conmemorativo, Lápida",40.42192050487996,-3.672907955296621
662,Monumentos,Rafael El Gallo,C Cedaceros 3,"Elemento conmemorativo, Lápida",40.41753447774349,-3.698167028962748
663,Monumentos,Rafael Martínez Molina,C Atocha 105,"Elemento conmemorativo, Lápida",40.41069450344943,-3.695527009043309
664,Monumentos,Ramiro I,Pza Oriente N/A o N/D,Estatua,40.41770254537207,-3.71197148607997
665,Monumentos,Ramiro II. Rey de León,Pza Oriente N/A o N/D,Estatua,40.41880935096959,-3.712183538164843
666,Monumentos,Ramiro I. Primer Rey de Aragón,Pza Oriente N/A o N/D,Estatua,40.41883441554283,-3.712502060019548
667,Monumentos,Ramón Gómez de la Serna,Pza Gabriel Miró N/A o N/D,"Fuente, Estanque, Lámina de agua",40.41264324199275,-3.715736900198957
668,Monumentos,Ramón María del Valle-Inclán,Pº Recoletos N/A o N/D,Estatua,40.42345746587572,-3.6914972418632015
669,Monumentos,Ramón María del Valle-Inclán,C General Oraa 9,"Elemento conmemorativo, Lápida",40.43640275477031,-3.68707875886046
670,Monumentos,Ramón Mesonero Romanos,CALLE BARCELO 1,Grupo Escultórico,40.42645345182625,-3.701083694459614
671,Monumentos,Ramón Pelayo,C Noviciado 3,"Elemento conmemorativo, Lápida",40.425574456886345,-3.707893146243272
672,Monumentos,Real Cerca de Felipe IV,Rda Ronda de Segovia N/A o N/D,"Puente, construcción civil",40.40717492595917,-3.71279157523858
673,Monumentos,Relieve Museo de Carruajes I,No disponible,Elemento de ornamentación,40.41762896822392,-3.719490883262965
674,Monumentos,Relieve Museo de Carruajes II,No disponible,Elemento de ornamentación,40.41777302989898,-3.719504205067407
675,Monumentos,Reloj de sol Puerta Toledo,Gta Puerta de Toledo N/A o N/D,Elemento de ornamentación,40.407134946632645,-3.7105048100759954
676,Monumentos,Reloj de sol Recoletos,Pº Recoletos N/A o N/D,Elemento de ornamentación,40.42153315585799,-3.692396985058563
677,Monumentos,Restauración iglesia de Montserrat,C San Bernardo 79,"Elemento conmemorativo, Lápida",40.42783551032979,-3.706455030301168
678,Monumentos,Restos arqueológicos iglesia Almudena,C Almudena N/A o N/D,Edificación singular,40.41526365294522,-3.713018367020872
679,Monumentos,Restos Convento Santa Catalina de Sena,"Pza Cabestreros, de N/A o N/D",Elemento de ornamentación,40.40963692335875,-3.703553979797178
680,Monumentos,Restos de cerca en la calle Bailén,C Bailén 3,"Puente, construcción civil",40.42105020347944,-3.7125725883320646
681,Monumentos,Restos escultóricos,CALLE JOAQUIN MARIA LOPEZ 1,Elemento de ornamentación,40.43733674903781,-3.708039261033894
682,Monumentos,Restos iglesia San Juan Bautista,Pza Ramales N/A o N/D,Edificación singular,40.41683046685208,-3.711679406011085
683,Monumentos,Reveriano Soutullo,C Apodaca 7,"Elemento conmemorativo, Lápida",40.42735739504234,-3.700638145117757
684,Monumentos,Rey astur-leonés,C Méndez Núñez 1,Estatua,40.41586211635765,-3.690111141238981
685,Monumentos,Rey astur-leonés,C Méndez Núñez 1,Estatua,40.41586148315061,-3.690217216029108
686,Monumentos,Rey astur-leonés (probablemente Fruela I),C Méndez Núñez 1,Estatua,40.41585909015692,-3.690617942983646
